blanks
132,800,45.63,9.72,35.91,2079.40,Metal Loss Group,External,21,0.059,1.0,2.0,05:00,,SMLS,0.280,X35,8.625,715,,0.348,2057,2857,33.67475840,-118.01584141,37.24,,,,,
133,800,45.63,10.12,35.51,2079.79,Metal Loss Group,External,19,0.053,1.2,2.4,11:17,,SMLS,0.280,X35,8.625,715,,0.350,2045,2841,33.67475897,-118.01584041,37.24,,,,,
134,800,45.63,10.68,34.95,2080.36,Metal Loss,External,19,0.053,0.3,0.6,00:02,,SMLS,0.280,X35,8.625,715,,0.341,2099,2915,33.67475977,-118.01583902,37.25,,,,,
135,800,45.63,13.88,31.75,2083.56,Metal Loss,External,16,0.045,0.7,0.7,02:31,,SMLS,0.280,X35,8.625,715,,0.343,2083,2893,33.67476454,-118.01583063,37.30,,,,,
136,800,45.63,14.34,31.29,2084.01,Metal Loss,External,12,0.034,0.7,0.7,06:58,,SMLS,0.280,X35,8.625,715,,0.342,2091,2904,33.67476530,-118.01582930,37.31,,,,,
137,810,20.27,45.63,20.27,2115.31,Girth Weld,,,,,,,,Lap,0.280,X35,8.625,715,,,,,33.67481193,-118.01574733,37.92,,,,,
138,810,20.27,1.42,18.85,2116.73,Metal Loss,External,23,0.064,0.9,0.9,02:14,,Lap,0.280,X35,8.625,715,,0.348,2055,2855,33.67481439,-118.01574299,37.95,,,,,
139,820,22.09,20.27,22.09,2135.58,Girth Weld,,,,,,,,Lap,0.280,X35,8.625,715,,,,,33.67484339,-118.01569187,38.18,,,,,
140,820,22.09,5.71,16.38,2141.28,Metal Loss Group,External,23,0.064,0.4,1.0,00:59,,Lap,0.280,X35,8.625,715,,0.341,2094,2908,33.67485197,-118.01567675,38.24,,,,,
141,820,22.09,5.74,16.35,2141.31,Metal Loss,External,27,0.076,0.7,0.7,04:07,,Lap,0.280,X35,8.625,715,,0.345,2071,2877,33.67485205,-118.01567660,38.24,,,,,
142,820,22.09,5.88,16.21,2141.45,Metal Loss,External,18,0.050,0.3,0.6,04:31,,Lap,0.280,X35,8.625,715,,0.341,2099,2915,33.67485224,-118.01567627,38.24,,,,,
143,820,22.09,6.09,16.01,2141.66,Metal Loss Group,External,21,0.059,0.4,3.4,02:33,,Lap,0.280,X35,8.625,715,,0.341,2097,2912,33.67485258,-118.01567567,38.25,,,,,
