ID,Feature,Wheel Countft,Sta. Num.ft,Depth,WTin,SMYS,Lengthin,Widthin,Orientation clock,P MOD B31G   psi,ERF MOD B31GMOPP, of max. est. oper. press PMOPbased on 1150,Dist from US weldft,Dist from DS weldft,US AGM,Dist to US AGM ft,DS AGM,Dist to DS AGM ft,Joint Lengthft,Comments,LAT,LON,ALTITUDE
40014280,GROUP,22977.82,229+11,11%,0.219,52000,1.59,1.92,6:00,1525,0.75000,100.000%,46.33,0.72,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2810.76,"Valve (Receiver), Sta. 230+60, P66 Refinery",143.50,47.05,Metal Loss Internal,33.80098764,-118.24607246,26.380
8220,WELD,22978.53,229+12,,,,,,,,,,,,,,,,35.51,,33.80098923,-118.24607384,26.400
40014281,GROUP,22978.77,229+12,12%,0.219,52000,0.41,0.48,5:45,1525,0.75000,100.000%,0.23,35.27,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2811.71,"Valve (Receiver), Sta. 230+60, P66 Refinery",142.55,35.51,Metal Loss Internal,33.80098975,-118.24607428,26.400
40014282,GROUP,22980.37,229+14,12%,0.219,52000,0.64,0.37,6:00,1525,0.75000,100.000%,1.83,33.67,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2813.31,"Valve (Receiver), Sta. 230+60, P66 Refinery",140.95,35.51,Metal Loss Internal,33.80099332,-118.24607735,26.450
40014283,GROUP,22982.18,229+16,19%,0.219,52000,1.02,0.93,6:00,1525,0.75000,100.000%,3.64,31.86,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2815.12,"Valve (Receiver), Sta. 230+60, P66 Refinery",139.14,35.51,Metal Loss Internal,33.80099736,-118.24608081,26.510
40014284,GROUP,22984.38,229+18,14%,0.219,52000,0.46,0.34,6:00,1525,0.75000,100.000%,5.84,29.67,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2817.31,"Valve (Receiver), Sta. 230+60, P66 Refinery",136.94,35.51,Metal Loss Internal,33.80100227,-118.24608502,26.580
40014285,GROUP,22984.67,229+18,12%,0.219,52000,2.31,0.72,6:00,1525,0.75000,100.000%,6.14,29.37,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2817.61,"Valve (Receiver), Sta. 230+60, P66 Refinery",136.64,35.51,Metal Loss Internal,33.80100293,-118.24608559,26.590
40014286,GROUP,22985.92,229+20,11%,0.219,52000,0.51,0.33,5:45,1525,0.75000,100.000%,7.38,28.12,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2818.86,"Valve (Receiver), Sta. 230+60, P66 Refinery",135.40,35.51,Metal Loss Internal,33.80100571,-118.24608796,26.630
40014287,GROUP,22986.85,229+21,11%,0.219,52000,0.57,0.65,6:15,1525,0.75000,100.000%,8.32,27.19,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2819.79,"Valve (Receiver), Sta. 230+60, P66 Refinery",134.46,35.51,Metal Loss Internal,33.80100781,-118.24608975,26.660
40014288,GROUP,22987.58,229+21,11%,0.219,52000,1.03,1.01,5:45,1525,0.75000,100.000%,9.05,26.46,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2820.52,"Valve (Receiver), Sta. 230+60, P66 Refinery",133.73,35.51,Metal Loss Internal,33.80100943,-118.24609115,26.680
