ItemNumber,JointNumber,JointLengthft,DisttoUSGWft,DisttoDSGWft,AbsoluteDistanceft,Feature,ExtInt,Depth,Depthin,Lengthin,Widthin,Oclockhhmm,Comments,PipeType,WTin,PipeGrade,PipeODin,MOP,LongSeam,ERF,SafeBurstPressure,BurstPressure,Latitudedeg,Longitudedeg,Elevationft
104,700,3.06,1.51,1.55,1871.22,Bend,,,,,,02:54,90° 3D Right Forged Bend,Elbow,,,8.625,715,,,,,33.67470777,-118.01651716,35.10
105,710,6.83,3.06,6.83,1872.76,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67470888,-118.01651272,35.13
106,720,40.28,6.83,40.28,1879.60,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67470813,-118.01649101,35.34
107,730,41.35,40.28,41.35,1919.88,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67470175,-118.01636172,36.64
108,740,40.82,41.35,40.82,1961.24,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67469328,-118.01623017,38.66
109,750,21.75,40.82,21.75,2002.05,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67468472,-118.01610002,40.06
110,760,1.09,21.75,1.09,2023.80,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67468098,-118.01603062,41.19
111,760,1.09,0.55,0.54,2024.36,Bend,,,,,,08:53,30° 5D Left Forged Bend,Elbow,,,8.625,715,,,,,33.67468131,-118.01602894,41.21
112,770,1.05,1.09,1.05,2024.89,Girth Weld,,,,,,,,ERW,0.219,X35,8.625,715,,,,,33.67468191,-118.01602737,41.23
113,780,11.59,1.05,11.59,2025.94,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67468341,-118.01602455,41.26
114,790,47.98,11.59,47.98,2037.53,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67470013,-118.01599394,41.48
115,800,43.66,47.98,43.66,2085.51,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67477148,-118.01586559,42.03
116,800,43.66,7.89,35.77,2093.39,Metal Loss Group,External,13,0.036,1.2,2.0,07:27,,SMLS,0.280,X35,8.625,715,,0.346,2067,2872,33.67478320,-118.01584448,42.08
117,800,43.66,8.21,35.45,2093.71,Metal Loss Group,External,15,0.042,1.4,1.7,07:36,,SMLS,0.280,X35,8.625,715,,0.349,2048,2844,33.67478366,-118.01584365,42.08
118,800,43.66,9.22,34.44,2094.73,Metal Loss Group,External,11,0.031,0.6,3.8,06:49,,SMLS,0.280,X35,8.625,715,,0.341,2096,2911,33.67478517,-118.01584094,42.09
119,810,20.97,43.66,20.97,2129.16,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67483560,-118.01575000,42.46
120,810,20.97,1.48,19.49,2130.64,Metal Loss,External,11,0.031,1.1,0.9,02:36,,SMLS,0.280,X35,8.625,715,,0.345,2075,2882,33.67483798,-118.01574570,42.49
121,820,22.50,20.97,22.50,2150.13,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67486852,-118.01569053,42.65
122,820,22.50,5.90,16.60,2156.03,Metal Loss,External,10,0.028,0.5,0.7,04:18,,SMLS,0.280,X35,8.625,715,,0.341,2098,2914,33.67487675,-118.01567566,42.69
123,820,22.50,8.94,13.55,2159.07,Metal Loss,External,14,0.039,0.4,0.7,03:08,,SMLS,0.280,X35,8.625,715,,0.341,2097,2913,33.67488100,-118.01566798,42.71
124,820,22.50,16.16,6.33,2166.29,Deformation,,1.0,0.082,2.7,2.0,02:54,,SMLS,0.280,X35,8.625,715,,,,,33.67489108,-118.01564977,42.76
125,830,18.51,22.50,18.51,2172.62,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67490030,-118.01563322,42.78
126,840,3.35,18.51,3.35,2191.13,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67492740,-118.01558467,42.85
127,840,3.35,0.59,2.77,2191.72,Metal Loss Group,External,10,0.028,1.2,0.7,03:53,,SMLS,0.280,X35,8.625,715,,0.345,2075,2882,33.67492836,-118.01558295,42.85
128,840,3.35,0.64,2.71,2191.77,Metal Loss,External,13,0.036,0.4,0.4,06:09,,SMLS,0.280,X35,8.625,715,,0.341,2098,2913,33.67492842,-118.01558284,42.85
129,840,3.35,0.85,2.50,2191.98,Metal Loss,External,10,0.028,0.5,0.4,04:16,,SMLS,0.280,X35,8.625,715,,0.341,2098,2914,33.67492876,-118.01558223,42.85
130,840,3.35,1.03,2.32,2192.16,Metal Loss,External,12,0.034,0.6,0.6,04:27,,SMLS,0.280,X35,8.625,715,,0.341,2094,2908,33.67492904,-118.01558172,42.85
131,840,3.35,1.18,2.17,2192.32,Metal Loss,External,11,0.031,0.4,0.6,04:15,,SMLS,0.280,X35,8.625,715,,0.340,2100,2917,33.67492928,-118.01558131,42.85
132,850,4.59,3.35,4.59,2194.49,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67493270,-118.01557517,42.86
133,860,0.31,4.59,0.31,2199.08,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67493977,-118.01556264,42.85
134,860,0.31,0.20,0.12,2199.27,Bend,,,,,,08:30,22.5° 3D Left Forged Bend,Elbow,,,8.625,715,,,,,33.67494013,-118.01556226,42.83
135,870,8.42,0.31,8.42,2199.39,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67494040,-118.01556198,42.83
136,880,18.06,8.42,18.06,2207.81,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67495903,-118.01554560,42.13
137,880,18.06,1.17,16.90,2208.97,Metal Loss,External,10,0.028,0.4,0.6,03:01,,SMLS,0.280,X35,8.625,715,,0.340,2101,2918,33.67496128,-118.01554365,42.04
138,880,18.06,8.29,9.77,2216.10,Metal Loss,External,17,0.048,1.0,1.1,04:08,,SMLS,0.280,X35,8.625,715,,0.346,2067,2871,33.67497637,-118.01553049,41.60
139,890,43.52,18.06,43.52,2225.87,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67499784,-118.01551187,41.10
140,890,43.52,36.94,6.58,2262.81,Deformation,,1.0,0.090,2.1,2.7,07:27,,SMLS,0.280,X35,8.625,715,,,,,33.67507804,-118.01544364,39.84
141,900,41.51,43.52,41.51,2269.39,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67509241,-118.01543148,39.75
142,900,41.51,0.07,41.44,2269.46,Metal Loss,External,12,0.034,0.5,0.7,02:07,,SMLS,0.280,X35,8.625,715,,0.341,2096,2911,33.67509251,-118.01543139,39.75
143,900,41.51,0.14,41.37,2269.53,Metal Loss,External,15,0.042,0.4,0.7,04:36,,SMLS,0.280,X35,8.625,715,,0.341,2097,2912,33.67509269,-118.01543125,39.75
144,910,43.89,41.51,43.89,2310.90,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67518284,-118.01535437,39.94
145,910,43.89,7.25,36.64,2318.15,Metal Loss,External,10,0.028,0.5,0.5,01:07,,SMLS,0.280,X35,8.625,715,,0.341,2098,2914,33.67519868,-118.01534085,40.07
146,910,43.89,7.75,36.14,2318.66,Metal Loss,External,11,0.031,0.3,0.5,00:47,,SMLS,0.280,X35,8.625,715,,0.340,2102,2919,33.67519978,-118.01533991,40.08
147,920,43.10,43.89,43.10,2354.79,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67527840,-118.01527333,41.22
148,930,39.44,43.10,39.44,2397.89,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,715,,,,,33.67537308,-118.01519421,42.46
149,930,39.44,35.88,3.56,2433.77,Metal Loss,External,10,0.028,0.8,0.8,11:52,,SMLS,0.280,X35,8.625,715,,0.342,2090,2903,33.67545243,-118.01512921,43.21
150,930,39.44,36.70,2.74,2434.59,Metal Loss,External,10,0.028,0.6,0.8,07:04,,SMLS,0.280,X35,8.625,715,,0.341,2095,2909,33.67545425,-118.01512775,43.22
151,930,39.44,37.03,2.41,2434.92,Metal Loss Group,External,12,0.034,1.0,3.0,07:57,,SMLS,0.280,X35,8.625,715,,0.344,2077,2885,33.67545497,-118.01512718,43.23
152,940,0.96,39.44,0.96,2437.33,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67546029,-118.01512294,43.27
153,950,0.55,0.96,0.55,2438.29,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67546244,-118.01512087,43.28
