Global GW,Tool,Weld Number,Approx. Milepost (miles),"Approx. Map Station
 (ft)",Odometer (ft),Feature Number,Feature Description,"Distance to Nearest Weld 
(ft)","Distance to Upstream Weld 
(ft)","Distance to Downstream Weld 
(ft)","Distance to Nearest AGM 
(ft)","Distance to Upstream AGM
 (ft)","Distance to Downstream AGM  
(ft)","Wall Thickness of Joint or Boxed Metal Loss Anomaly (Median)
 (in)","Wall Thickness of Joint Only (Median) 
(in)",Max Depth (% from Joint Median),Max Depth +Tool Tolerance (% from Joint Median),"Dent Depth
 (%)",Length (in),"Width 
(in)",Orient. (deg),Pipe Lnth (ft),Long Seam Orient. (deg),"B31G mod Using Median Thickness Psafe 
(psi)","B31Gmod Using Median Thickness +Tool Tolerance Psafe 
(psi)","B31G Eff. Area Using Median Thickness Psafe 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance 
Psafe
 (psi)","B31G Eff. Area Using Median Thickness Pfailure 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance Pfailure 
(psi)",Lattitude NAD83,Longitude NAD83,"Elevation Above Mean Sea Level NAVD88
 (ft)",Comments,Valid Thickness Data Percent,Feature Type (Int/Ext/Mid),Depth of Feature (From Joint Median) (in),Depth Sizing Tolerance (in),Depth of Feature (From Joint Median +Tool Tolerance) (in),"Thickness Minimum Measured for Metal Loss (Minus Tool Tolerance) 
(in)","Thickness Minimum Measured (Tmm) 
(in)",API 579 MAOPr (psi),API 579 RSF,Piping Specifications,SMYS (ksi),MAOP Design (psi),"Nominal Pipe Diameter, OD 
(in)",T Median Measured (in),T Mean Measured (in),Distance from Launcher (ft),Station Position (ft),"Radius Inside (Median) 
(in)","Radius Inside (Mean)
 (in)","Radius Inside (Min)
 (in)",T Nominal (in),,,,,
250,InVista,29,1.685,88+95,438.88,EML-270-01,External Metal Loss,D8.71,35.06,8.71,U426.03,426.03,"1,584.95",0.304,0.318,15,23,,10.62,2.10,353,,,"1,909","1,790","1,924","1,784","2,673","2,478",33.80062076,-118.23405348,31.1,,89.6,External,0.047,0.025,0.072,0.246,0.271,"1,613",0.916,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.304,0.313,438.88,"8,894.92",4.004,4.002,3.987,0.322,,,,,
260,InVista,30,1.686,89+04,447.58,GW280,Weld,D8.35,43.77,8.35,U434.74,434.74,"1,576.24",0.316,0.316,,,,,,,8.35,288,,,,,,,33.80062718,-118.23408127,30.5,,99.5,,,,,,0.236,"1,558",0.870,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.316,0.318,447.58,"8,903.68",4.005,4.004,3.360,0.322,,,,,
260,InVista,30,1.687,89+06,449.76,EML-280-01,External Metal Loss,U2.18,2.18,6.17,U436.91,436.91,"1,574.07",0.310,0.316,24,32,,19.00,5.40,336,,,"1,726","1,594","1,819","1,667","2,527","2,315",33.80062880,-118.23408828,30.4,Intermittent,96.8,External,0.076,0.025,0.101,0.215,0.240,"1,558",0.870,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.310,0.309,449.76,"8,905.87",4.005,4.003,3.988,0.322,,,,,
260,InVista,30,1.688,89+12,455.40,EML-280-02,External Metal Loss,D0.53,7.82,0.53,U442.56,442.56,"1,568.42",0.308,0.316,25,33,,1.32,2.50,66,,,"2,024","1,989","2,060","2,024","2,861","2,811",33.80063294,-118.23410620,30.0,,88.3,External,0.080,0.025,0.105,0.211,0.236,"1,613",0.953,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.308,0.306,455.40,"8,911.55",4.005,4.004,3.997,0.322,,,,,
260,InVista,30,1.688,89+12,455.62,EML-280-03,External Metal Loss,D0.31,8.03,0.31,U442.77,442.77,"1,568.21",0.313,0.316,25,33,,1.19,2.18,66,,,"2,038","2,007","2,060","2,028","2,861","2,817",33.80063306,-118.23410672,30.0,,84.6,External,0.079,0.025,0.104,0.212,0.237,"1,613",0.953,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.313,0.306,455.62,"8,911.77",4.007,4.007,3.996,0.322,,,,,
270,InVista,31,1.688,89+12,455.93,GW290,Weld,D1.01,8.35,1.01,U443.08,443.08,"1,567.89",0.311,0.311,,,,,,,1.01,,,,,,,,33.80063329,-118.23410776,30.0,,96.2,,,,,,0.288,"1,613",0.943,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.311,0.315,455.93,"8,912.09",4.012,4.012,2.825,0.322,,,,,
280,InVista,32,1.688,89+13,456.94,GW300,Weld; Begin 0.219 in wall. API 5L (X-52) LongSeam,U1.01,1.01,62.38,U444.10,444.10,"1,566.88",0.217,0.217,,,,,,,62.38,301,,,,,,,33.80063402,-118.23411087,29.9,Metal Loss (<15.0%) in Joint,99.9,,,,,,0.169,"1,901",0.954,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.217,0.218,456.94,"8,913.10",4.106,4.106,2.892,0.219,,,,,
280,InVista,32,1.692,89+32,475.40,EML-300-01,External Metal Loss,U18.45,18.45,43.92,U462.55,462.55,"1,548.43",0.216,0.217,17,29,,1.73,0.97,51,,,"2,140","2,054","2,172","2,076","3,017","2,883",33.80064757,-118.23416957,28.7,,90.5,External,0.037,0.025,0.062,0.155,0.180,"1,901",0.958,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.216,0.217,475.40,"8,931.67",4.08,4.082,4.066,0.219,,,,,
280,InVista,32,1.697,89+62,505.10,IML-300-02,Internal Metal Loss,D14.22,48.15,14.22,U492.25,492.25,"1,518.73",0.209,0.217,22,34,,0.44,0.32,177,,,"2,230","2,219","2,231","2,217","3,098","3,079",33.80066937,-118.23426412,26.8,Mill Related; WT Inferred from IR; Not Associated with Deposits;,92.9,Internal,0.048,0.025,0.073,0.144,0.169,"1,901",0.981,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.209,0.198,505.10,"8,961.56",4.104,4.114,4.100,0.219,,,,,
290,InVista,33,1.700,89+76,519.32,GW310,Weld,D60.11,62.38,60.11,U506.47,506.47,"1,504.51",0.217,0.217,,,,,,,60.11,350,,,,,,,33.80067934,-118.23430949,26.0,,99.9,,,,,,0.208,"1,901",0.978,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.217,0.218,519.32,"8,975.88",4.106,4.106,2.928,0.219,,,,,
300,InVista,34,1.711,90+36,579.43,GW320,Weld,D59.65,60.11,59.65,U566.58,566.58,"1,444.40",0.214,0.214,,,,,,,59.65,168,,,,,,,33.80072147,-118.23450115,22.7,,99.5,,,,,,0.199,"1,901",0.973,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.214,0.216,579.43,"9,036.36",4.102,4.101,2.991,0.219,,,,,
310,InVista,35,1.723,90+96,639.08,GW330,Weld,U59.65,59.65,59.97,U626.23,626.23,"1,384.75",0.216,0.216,,,,,,,59.97,6,,,,,,,33.80076450,-118.23469134,20.5,,99.8,,,,,,0.206,"1,901",0.974,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.216,0.216,639.08,"9,096.39",4.108,4.107,3.241,0.219,,,,,
320,InVista,36,1.734,91+57,699.06,GW340,Weld,D53.72,59.97,53.72,U686.21,686.21,"1,324.77",0.212,0.212,,,,,,,53.72,349,,,,,,,33.80080831,-118.23488245,18.8,,99.9,,,,,,0.177,"1,901",0.986,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.212,0.213,699.06,"9,156.75",4.103,4.103,2.832,0.219,,,,,
320,InVista,36,1.736,91+65,707.22,EML-340-01,External Metal Loss,U8.17,8.17,45.56,U694.37,694.37,"1,316.60",0.200,0.212,17,28,,0.31,0.32,207,,,"2,189","2,183","2,187","2,179","3,037","3,027",33.80081430,-118.23490848,18.8,,60.0,External,0.035,0.025,0.060,0.152,0.177,"1,901",0.987,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.200,0.225,707.22,"9,164.97",4.101,4.101,4.098,0.219,,,,,
330,InVista,37,1.744,92+11,752.78,GW350,Weld,U53.72,53.72,62.16,U739.93,739.93,"1,271.05",0.220,0.220,,,,,,,62.16,352,,,,,,,33.80084766,-118.23505349,19.0,,99.8,,,,,,0.204,"1,901",0.946,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.220,0.221,752.78,"9,210.81",4.102,4.102,2.851,0.219,,,,,
340,InVista,38,1.756,92+73,814.94,GW360,Weld,U62.16,62.16,62.39,U802.09,802.09,"1,208.89",0.216,0.216,,,,,,,62.39,345,,,,,,,33.80089379,-118.23525123,19.4,,99.7,,,,,,0.206,"1,901",0.972,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.216,0.217,814.94,"9,273.37",4.106,4.105,2.804,0.219,,,,,
350,InVista,39,1.768,93+36,877.33,GW370,Weld,D59.42,62.39,59.42,U864.49,864.48,"1,146.49",0.215,0.215,,,,,,,59.42,317,,,,,,,33.80094123,-118.23544958,20.3,,99.9,,,,,,0.194,"1,901",0.960,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.215,0.216,877.33,"9,336.15",4.1,4.100,2.883,0.219,,,,,
360,InVista,40,1.780,93+96,936.75,GW380,Weld,U59.42,59.42,63.07,U923.90,923.90,"1,087.08",0.217,0.217,,,,,,,63.07,187,,,,,,,33.80098446,-118.23563876,22.9,,99.8,,,,,,0.179,"1,901",0.922,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.217,0.217,936.75,"9,395.95",4.1,4.100,2.810,0.219,,,,,
360,InVista,40,1.784,94+21,961.38,EML-380-01,External Metal Loss,U24.63,24.63,38.45,U948.53,948.53,"1,062.45",0.199,0.217,18,29,,2.29,3.55,328,,,"2,101","1,989","2,104","1,971","2,923","2,738",33.80100236,-118.23571707,23.9,,97.5,External,0.038,0.025,0.063,0.154,0.179,"1,901",0.937,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.199,0.207,961.38,"9,420.73",4.099,4.100,4.092,0.219,,,,,
370,InVista,41,1.792,94+59,999.82,GW390,Weld; Begin 0.322 in wall. API 5L (A) LongSeam,D0.99,63.07,0.99,U986.98,986.97,"1,024.00",0.311,0.311,,,,,,,0.99,44,,,,,,,33.80103009,-118.23583958,25.0,,95.8,,,,,,0.298,"1,613",0.975,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.311,0.314,999.82,"9,459.42",4.013,4.013,2.826,0.322,,,,,
380,InVista,42,1.792,94+60,"1,000.82",GW400,Weld,U0.99,0.99,41.89,U987.97,987.97,"1,023.01",0.314,0.314,,,,,,,41.89,73,,,,,,,33.80103086,-118.23584298,25.0,,99.9,,,,,,0.291,"1,613",0.946,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.314,0.315,"1,000.82","9,460.42",4.005,4.004,3.163,0.322,,,,,
390,InVista,43,1.800,95+03,"1,042.71",GW410,Weld,U41.89,41.89,43.53,D981.12,"1,029.86",981.12,0.319,0.319,,,,,,,43.53,31,,,,,,,33.80106088,-118.23597646,25.7,Metal Loss (<15.0%) in Joint; Small Laminations in Joint,99.7,,,,,,0.278,"1,613",0.934,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.319,0.320,"1,042.71","9,502.58",4,3.999,2.798,0.322,,,,,
400,InVista,44,1.808,95+46,"1,086.24",GW420,Weld,D42.76,43.53,42.76,D937.58,"1,073.39",937.58,0.317,0.317,,,,,,,42.76,217,,,,,,,33.80109258,-118.23611527,26.4,,99.8,,,,,,0.300,"1,613",0.967,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.317,0.318,"1,086.24","9,546.39",4.004,4.003,3.284,0.322,,,,,
410,InVista,45,1.816,95+89,"1,129.01",GW430,Weld,D32.57,42.76,32.57,D894.82,"1,116.16",894.82,0.325,0.325,,,,,,,32.57,346,,,,,,,33.80112452,-118.23625112,26.9,,99.9,,,,,,0.300,"1,613",0.969,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.325,0.327,"1,129.01","9,589.42",3.994,3.993,3.187,0.322,,,,,
420,InVista,46,1.822,96+22,"1,161.58",GW440,Weld,D10.00,32.57,10.00,D862.25,"1,148.73",862.25,0.316,0.316,,,,,,,10.00,183,,,,,,,33.80114980,-118.23635461,27.0,,99.6,,,,,,0.307,"1,613",0.979,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.316,0.318,"1,161.58","9,622.20",3.99,3.990,3.346,0.322,,,,,
430,InVista,47,1.824,96+32,"1,171.57",GW450,Weld,D8.69,10.00,8.69,D852.25,"1,158.73",852.25,0.310,0.310,,,,,,,8.69,167,,,,,,,33.80115670,-118.23638652,27.0,Metal Loss (<15.0%) in Joint,99.4,,,,,,0.286,"1,613",0.958,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.310,0.312,"1,171.57","9,632.26",4.008,4.008,2.821,0.322,,,,,
440,InVista,48,1.826,96+41,"1,180.26",GW460,Weld,U8.69,8.69,12.29,D843.56,"1,167.41",843.56,0.315,0.315,,,,,,,12.29,104,,,,,,,33.80115951,-118.23641471,28.0,Metal Loss (<15.0%) in Joint,99.5,,,,,,0.278,"1,613",0.941,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.315,0.317,"1,180.26","9,641.00",4.001,4.003,2.982,0.322,,,,,
450,InVista,49,1.828,96+53,"1,192.55",GW470,Weld,U12.29,12.29,40.29,D831.28,"1,179.70",831.28,0.319,0.319,,,,,,,40.29,233,,,,,,,33.80116453,-118.23645483,28.0,Metal Loss (<15.0%) in Joint,99.4,,,,,,0.279,"1,594",0.890,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.319,0.320,"1,192.55","9,653.37",3.998,3.998,3.161,0.322,,,,,
460,InVista,50,1.836,96+94,"1,232.84",GW480,Weld,D4.67,40.29,4.66,D790.99,"1,219.99",790.99,0.314,0.314,,,,,,,4.66,,,,,,,,33.80116626,-118.23658611,29.9,,91.5,,,,,,0.257,"1,536",0.857,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.314,0.317,"1,232.84","9,693.91",3.998,3.979,3.203,0.322,,,,,
460,InVista,50,1.836,96+94,"1,232.87",EML-480-01,External Metal Loss,U0.04,0.04,4.63,D790.96,"1,220.02",790.96,0.305,0.314,18,26,,51.73,11.61,120,,,"1,781","1,642","1,786","1,622","2,480","2,252",33.80116632,-118.23658637,29.9,Intermittent,89.5,External,0.057,0.025,0.082,0.232,0.257,"1,536",0.857,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.305,0.312,"1,232.87","9,693.94",3.995,3.979,3.302,0.322,,,,,
460,InVista,50,1.836,96+95,"1,233.75",BD,Bend,U0.92,,,D790.08,"1,220.90",790.08,,,,,,,,,,,,,,,,,33.80116693,-118.23658897,29.9,Induction,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"1,233.75","9,694.83",,,,0.322,,,,,
460,InVista,51,1.837,96+99,"1,237.50",IML-490-01,Internal Metal Loss,U0.00,0.00,33.20,D786.33,"1,224.65",786.33,0.313,0.314,19,27,,0.28,0.97,165,,,"2,113","2,111","2,114","2,112","2,936","2,933",33.80116973,-118.23660092,29.9,Possibe Lack of Penetration; In Girth Weld; WT Inferred from IR; Not Associated with Deposits;,77.1,Internal,0.061,0.025,0.086,0.231,0.256,"1,613",0.922,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.313,0.318,"1,237.50","9,698.60",3.999,3.995,3.938,0.322,,,,,
470,InVista,51,1.837,96+99,"1,237.50",GW490,Weld,U4.67,4.66,33.19,D786.33,"1,224.65",786.33,0.317,0.317,,,,,,,33.19,160,,,,,,,33.80116973,-118.23660092,29.9,,99.7,,,,,,0.240,"1,613",0.922,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.317,0.319,"1,237.50","9,698.60",3.999,3.999,3.369,0.322,,,,,
470,InVista,51,1.837,96+99,"1,237.50",IML-490-02,Internal Metal Loss,U0.00,0.00,33.19,D786.32,"1,224.66",786.32,0.279,0.317,24,32,,0.21,0.73,221,,,"2,114","2,113","2,113","2,112","2,935","2,933",33.80116973,-118.23660092,29.9,Possibe Lack of Penetration; In Girth Weld; WT Inferred from IR; Not Associated with Deposits;,85.2,Internal,0.077,0.025,0.102,0.215,0.240,"1,613",0.922,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.279,0.279,"1,237.50","9,698.60",4.033,4.033,3.978,0.322,,,,,
480,InVista,52,1.843,97+32,"1,270.70",GW500,Weld,U33.20,33.19,33.82,D753.13,"1,257.85",753.13,0.324,0.324,,,,,,,33.82,226,,,,,,,33.80119452,-118.23670675,29.9,,99.9,,,,,,0.303,"1,613",0.964,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.324,0.325,"1,270.70","9,732.01",3.995,3.995,2.922,0.322,,,,,
490,InVista,53,1.850,97+66,"1,304.52",GW510,Weld,U33.82,33.82,39.47,D719.31,"1,291.67",719.31,0.324,0.324,,,,,,,39.47,105,,,,,,,33.80121969,-118.23681412,29.9,,99.1,,,,,,0.309,"1,613",0.963,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.324,0.326,"1,304.52","9,766.04",3.993,3.992,3.085,0.322,,,,,
500,InVista,54,1.857,98+06,"1,343.99",GW520,Weld,D37.64,39.47,37.63,D679.84,"1,331.14",679.84,0.321,0.321,,,,,,,37.63,349,,,,,,,33.80124912,-118.23693970,29.9,,99.5,,,,,,0.215,"1,519",0.848,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.321,0.321,"1,343.99","9,805.77",3.995,3.995,2.874,0.322,,,,,
500,InVista,54,1.857,98+06,"1,343.99",IML-520-01,Internal Metal Loss,U0.00,0.00,37.63,D679.83,"1,331.14",679.83,0.319,0.321,33,41,,0.26,0.65,267,,,"2,137","2,135","2,139","2,137","2,971","2,968",33.80124912,-118.23693970,29.9,Possibe Lack of Penetration; In Girth Weld; WT Inferred from IR; Not Associated with Deposits;,53.1,Internal,0.106,0.025,0.131,0.190,0.215,"1,613",0.981,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.319,0.311,"1,343.99","9,805.77",3.993,4.002,3.964,0.322,,,,,
500,InVista,54,1.858,98+10,"1,348.29",IML-520-02,Internal Metal Loss,U4.30,4.30,33.33,D675.53,"1,335.44",675.53,0.301,0.321,15,23,,1.71,1.05,178,,,"2,076","2,035","2,084","2,036","2,894","2,828",33.80125235,-118.23695348,29.9,Not Associated with Deposits;,73.5,Internal,0.048,0.025,0.073,0.248,0.273,"1,613",0.953,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.301,0.316,"1,348.29","9,810.10",3.998,4.001,3.986,0.322,,,,,
500,InVista,54,1.858,98+11,"1,349.42",EML-520-03,External Metal Loss,U5.43,5.43,32.20,D674.40,"1,336.58",674.40,0.305,0.321,22,30,,23.78,19.35,65,,,"1,775","1,641","1,844","1,688","2,561","2,344",33.80125320,-118.23695712,29.9,,94.1,External,0.071,0.025,0.096,0.225,0.250,"1,519",0.848,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.305,0.306,"1,349.42","9,811.23",3.995,3.994,3.383,0.322,,,,,
510,InVista,55,1.864,98+44,"1,381.63",GW530,Weld,U37.64,37.63,43.27,D642.20,"1,368.78",642.20,0.319,0.319,,,,,,,43.27,268,,,,,,,33.80127719,-118.23705950,29.9,,99.9,,,,,,0.289,"1,613",0.948,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.319,0.320,"1,381.63","9,843.64",4.001,4.000,2.888,0.322,,,,,
510,InVista,55,1.864,98+44,"1,382.16",CB,Casing (Begin),U0.54,0.54,42.73,D641.67,"1,369.31",641.67,,,,,,,,,,,,,,,,,33.80127762,-118.23706133,29.9,"Casing Begins 12"" Station 98+44.18",,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"1,382.16","9,844.18",,,,0.322,,,,,
510,InVista,55,1.869,98+68,"1,405.75",CL Alameda St.,Road Centerline (approx),D19.15,24.12,19.15,D618.08,"1,392.90",618.08,0.325,,,,,0.07,0.08,359,,,,,,,,,33.80129479,-118.23713614,31.5,"CL Alameda St.
98+67.92
(Alignment Sheet 4-A-1559)",100.0,,,,,,0.325,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,8.625,0.325,0.325,"1,405.75","9,867.91",,,,0.322,,,,,
520,InVista,56,1.873,98+87,"1,424.89",GW540,Weld,D5.27,43.27,5.27,D598.94,"1,412.04",598.93,0.315,0.315,,,,,,,5.27,263,,,,,,,33.80130879,-118.23719720,32.8,,98.8,,,,,,0.289,"1,613",0.902,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.315,0.318,"1,424.89","9,887.18",4.001,4.001,3.361,0.322,,,,,
520,InVista,56,1.873,98+90,"1,427.70",CE,Casing (End),D2.46,2.81,2.46,D596.13,"1,414.85",596.13,,,,,,,,,,,,,,,,,33.80131082,-118.23720603,33.0,"Casing Ends 12"" Station 98+90.01",,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"1,427.70","9,890.00",,,,0.322,,,,,
520,InVista,57,1.874,98+92,"1,430.16",RMBS,Recoat Marker Band Start,U0.00,0.00,4.18,D593.67,"1,417.31",593.67,,,,,,0.07,0.08,360,,,,,,,,,33.80131141,-118.23721399,33.1,,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"1,430.16","9,892.48",3.922,3.922,3.922,0.322,,,,,
530,InVista,57,1.874,98+92,"1,430.16",GW550,Weld,D4.18,5.27,4.18,D593.67,"1,417.31",593.67,0.306,0.306,,,,,,,4.18,,,,,,,,33.80131141,-118.23721399,33.1,,75.4,,,,,,0.243,"1,472",0.821,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.306,0.312,"1,430.16","9,892.48",3.96,3.958,3.241,0.322,,,,,
530,InVista,57,1.874,98+93,"1,430.28",BF,Bend - Field,U0.12,0.12,4.06,D593.55,"1,417.43",593.55,,,,,,,,,,,,,,,,,33.80131140,-118.23721441,33.1,Crosses 2 Girth Welds,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,8.625,,,"1,430.28","9,892.60",,,,0.322,,,,,
530,InVista,57,1.874,98+95,"1,432.42",EML-550-03,External Metal Loss,D1.92,2.26,1.92,D591.41,"1,419.57",591.41,0.265,0.306,21,29,,1.23,1.21,144,,,"1,984","1,954","1,957","1,916","2,718","2,661",33.80130637,-118.23721794,33.1,,80.0,External,0.063,0.025,0.088,0.218,0.243,"1,475",0.823,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.265,0.278,"1,432.42","9,894.73",3.962,3.964,3.940,0.322,,,,,
530,InVista,57,1.874,98+95,"1,432.87",EML-550-04,External Metal Loss,D1.47,2.71,1.47,D590.96,"1,420.02",590.96,0.260,0.306,19,27,,0.59,0.65,161,,,"2,028","2,019","2,020","2,008","2,805","2,789",33.80130530,-118.23721834,33.1,,91.3,External,0.059,0.025,0.084,0.222,0.247,"1,487",0.830,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.260,0.271,"1,432.87","9,895.18",4.007,3.997,3.963,0.322,,,,,
540,InVista,58,1.874,98+97,"1,434.34",GW560,Weld,D3.07,4.18,3.07,D589.49,"1,421.49",589.49,0.306,0.306,,,,,,,3.07,,,,,,,,33.80130141,-118.23721977,33.1,,89.9,,,,,,0.188,"1,518",0.847,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.306,0.313,"1,434.34","9,896.63",3.95,3.950,2.999,0.322,,,,,
540,InVista,58,1.875,98+97,"1,435.20",EML-560-01,External Metal Loss,U0.87,0.87,2.20,D588.62,"1,422.36",588.62,0.250,0.306,39,47,,1.28,2.10,92,,,"1,903","1,858","1,861","1,798","2,585","2,497",33.80129927,-118.23722058,33.1,,61.7,External,0.118,0.025,0.143,0.163,0.188,"1,535",0.856,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.250,0.258,"1,435.20","9,897.49",3.935,3.938,3.925,0.322,,,,,
540,InVista,58,1.875,98+98,"1,435.48",DNT-560-02,Dent,U1.14,1.14,1.93,D588.35,"1,422.63",588.35,,,,,3.90,3,3,83,,,,,,,,,33.80129840,-118.23722089,33.1,,13.9,,,0.025,,-0.025,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,8.625,,,"1,435.48","9,897.77",3.877,3.872,3.654,0.322,,,,,
540,InVista,58,1.875,98+99,"1,436.72",AWMBS,Armor Wrap Marker Band Start,D0.69,2.38,0.69,D587.11,"1,423.87",587.11,0.294,,,,,0.07,0.08,359,,,,,,,,,33.80129517,-118.23722208,33.1,,100.0,,,,,,0.294,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,8.625,0.294,0.294,"1,436.72","9,899.00",,,,0.322,,,,,
550,InVista,59,1.875,99+00,"1,437.41",GW570,Weld,D2.91,3.07,2.91,D586.42,"1,424.56",586.42,0.327,0.327,,,,,,,2.91,,,,,,,,33.80129345,-118.23722273,33.1,,97.7,,,,,,0.275,"1,564",0.873,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.327,0.328,"1,437.41","9,899.68",3.992,3.981,2.776,0.322,,,,,
560,InVista,60,1.875,99+03,"1,440.32",GW580,Weld,U2.91,2.91,16.23,D583.50,"1,427.47",583.50,0.318,0.318,,,,,,,16.23,285,,,,,,,33.80128591,-118.23722551,33.2,,98.1,,,,,,0.286,"1,613",0.923,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.318,0.320,"1,440.32","9,902.58",3.999,3.998,2.776,0.322,,,,,
560,InVista,60,1.876,99+04,"1,441.76",AWMBE,Armor Wrap Marker Band End,U1.44,1.44,14.79,D582.07,"1,428.91",582.07,0.315,,,,,0.07,0.08,359,,,,,,,,,33.80128225,-118.23722687,33.2,,100.0,,,,,,0.315,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,8.625,0.315,0.315,"1,441.76","9,904.00",,,,0.322,,,,,
560,InVista,60,1.876,99+07,"1,444.63",BF,Bend - Field,U4.30,4.30,11.92,D579.20,"1,431.78",579.20,,,,,,,,,,,,,,,,,33.80127471,-118.23722965,33.2,,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,8.625,,,"1,444.63","9,906.85",,,,0.322,,,,,
