J. no.,J. len [ft],t [in],to u/s w. [ft],to d/s w. [ft],o'clock,Log Distance,Severity Rule,event,depth [%],OD Reduction,length [in],width [in],internal,ERF - 0.85dl,RPR - 0.85dl,SMYS [psi],Comment,Latitude ,Longitude 
1950,44.67,0.219,,,,7788.06,,Girth Weld,,,,,,,,52000,,47.72838249,-103.30341026
1960,44.17,0.219,,,,7832.73,,Girth Weld,,,,,,,,52000,,47.72838660,-103.30359572
1970,44.56,0.219,,,,7876.90,,Girth Weld,,,,,,,,52000,,47.72838976,-103.30377914
1980,44.41,0.219,,,,7921.46,,Girth Weld,,,,,,,,52000,,47.72839111,-103.30396386
1990,32.01,0.219,,,,7965.87,,Girth Weld,,,,,,,,52000,,47.72839223,-103.30414810
2000,44.72,0.219,,,,7997.87,,Girth Weld,,,,,,,,52000,,47.72839304,-103.30428066
2010,44.71,0.322,,,,8042.59,,Girth Weld,,,,,,,,52000,,47.72839281,-103.30446463
2020,44.71,0.322,,,,8087.31,,Girth Weld,,,,,,,,52000,,47.72839504,-103.30464916
2030,44.72,0.322,,,,8132.02,,Girth Weld,,,,,,,,52000,,47.72840019,-103.30483372
2040,44.75,0.322,,,,8176.74,,Girth Weld,,,,,,,,52000,,47.72840264,-103.30501867
2050,44.66,0.322,,,,8221.49,,Girth Weld,,,,,,,,52000,,47.72840761,-103.30520433
2060,44.59,0.322,,,,8266.15,,Girth Weld,,,,,,,,52000,,47.72841297,-103.30538973
2070,42.34,0.219,,,,8310.74,,Girth Weld,,,,,,,,52000,,47.72841538,-103.30557430
2080,44.46,0.219,,,,8353.08,,Girth Weld,,,,,,,,52000,,47.72841791,-103.30574919
2090,44.34,0.219,,,,8397.54,,Girth Weld,,,,,,,,52000,,47.72842120,-103.30593324
2100,43.58,0.219,,,,8441.88,,Girth Weld,,,,,,,,52000,,47.72842596,-103.30611718
2110,44.39,0.219,,,,8485.46,,Girth Weld,,,,,,,,52000,,47.72843120,-103.30629813
2120,44.42,0.219,,,,8529.86,,Girth Weld,,,,,,,,52000,,47.72843558,-103.30648252
2130,44.32,0.219,,,,8574.27,,Girth Weld,,,,,,,,52000,,47.72843936,-103.30666705
2140,44.5,0.219,,,,8618.60,,Girth Weld,,,,,,,,52000,,47.72844315,-103.30685117
2150,43.7,0.219,,,,8663.10,,Girth Weld,,,,,,,,52000,,47.72844764,-103.30703602
2160,44.19,0.219,,,,8706.80,,Girth Weld,,,,,,,,52000,,47.72845206,-103.30721754
2170,44.51,0.219,,,,8751.00,,Girth Weld,,,,,,,,52000,,47.72845710,-103.30740103
2180,44.34,0.219,,,,8795.51,,Girth Weld,,,,,,,,52000,,47.72846232,-103.30758585
2190,44.36,0.219,,,,8839.85,,Girth Weld,,,,,,,,52000,,47.72846788,-103.30776993
2200,44.48,0.219,,,,8884.21,,Girth Weld,,,,,,,,52000,,47.72847139,-103.30795419
2210,44.34,0.219,,,,8928.69,,Girth Weld,,,,,,,,52000,,47.72847306,-103.30813878
2220,44.37,0.219,,,,8973.03,,Girth Weld,,,,,,,,52000,,47.72847682,-103.30832289
2230,44.29,0.219,,,,9017.40,,Girth Weld,,,,,,,,52000,,47.72848184,-103.30850704
2240,44.65,0.219,,,,9061.69,,Girth Weld,,,,,,,,52000,,47.72848778,-103.30869083
2250,44.22,0.219,,,,9106.34,,Girth Weld,,,,,,,,52000,,47.72849215,-103.30887624
2260,44.65,0.219,,,,9150.56,,Girth Weld,,,,,,,,52000,,47.72849696,-103.30905966
2270,44.66,0.219,,,,9195.21,,Girth Weld,,,,,,,,52000,,47.72850081,-103.30924508
2280,1.54,0.322,,,,9239.86,,Girth Weld,,,,,,,,52000,,47.72850524,-103.30943056
2280,1.54,,,,,9240.68,,Bend,,,,,,,,,3.0D -  47 deg - Right,47.72850593,-103.30943375
2290,44.28,0.322,,,,9241.41,,Girth Weld,,,,,,,,52000,,47.72850721,-103.30943611
