Feature Number (sequential order),Pipeline Feature,Empty odl Standard featurename,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference name,US Dist from,Downstream (D/S) Reference name ,ds distance to,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF MOP _SAFE,RPR PBURST    /      100% SMYS,Effective Area pburst,effsagepsafe,Group Number,Group Category,Nad 83 Latitude,NAD 83 Longitude,NAVD88 Elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
50,Anomaly - Corrosion,,INT,500.95,05+02,45.51,14.75,60.26,130,Launch Valve - Rio Bravo Station (0+00),500.95,Block Valve  BV 7.14 (377+16),37139.58,16,0.25,,52000,,16,0.04,,,,,0.3,0.3, 06:00,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.4349801,-119.2694478,320, INT ML,Pinhole,,,MFL/CLP,,
51,Weld,,,515.7,05+17,60.26,10.87,10.87,140,Launch Valve - Rio Bravo Station (0+00),515.7,Block Valve  BV 7.14 (377+16),37124.83,16,0.25,,52000, 01:32,,,,,,,,,,1170,,,1170,,,,,,,35.4350206,-119.2694473,320,GIRTH WELD,,,,MFL/CLP,,
52,Weld,,,526.57,05+28,10.87,60.27,60.27,150,Launch Valve - Rio Bravo Station (0+00),526.57,Block Valve  BV 7.14 (377+16),37113.97,16,0.25,,52000, 09:36,,,,,,,,,,1170,,,1170,,,,,,,35.4350505,-119.2694474,320,GIRTH WELD,,,,MFL/CLP,,
53,Weld,,,586.83,05+88,60.27,60.41,60.41,160,Launch Valve - Rio Bravo Station (0+00),586.83,Block Valve  BV 7.14 (377+16),37053.7,16,0.25,,52000, 11:56,,,,,,,,,,1170,,,1170,,,,,,,35.4352162,-119.2694477,319.7,GIRTH WELD,,,,MFL/CLP,,
54,Anomaly - Corrosion,,INT,627.54,06+29,40.71,19.7,60.41,160,Launch Valve - Rio Bravo Station (0+00),627.54,Block Valve  BV 7.14 (377+16),37013,16,0.25,,52000,,15,0.04,,,,,0.5,0.6, 06:10,1170,1932,1391,1170,0.841,1.189,1931,1390,,,35.4353281,-119.2694476,319.7, INT ML,Pitting,,,MFL/CLP,,
55,Weld,,,647.24,06+49,60.41,60.42,60.42,170,Launch Valve - Rio Bravo Station (0+00),647.24,Block Valve  BV 7.14 (377+16),36993.29,16,0.25,,52000, 01:32,,,,,,,,,,1170,,,1170,,,,,,,35.4353822,-119.2694474,319.4,GIRTH WELD,,,,MFL/CLP,,
56,Anomaly - Corrosion,,INT,647.84,06+49,0.61,59.82,60.42,170,Launch Valve - Rio Bravo Station (0+00),647.84,Block Valve  BV 7.14 (377+16),36992.69,16,0.25,,52000,,15,0.04,,,,,0.3,0.2, 06:04,1170,1936,1394,1170,0.84,1.191,1936,1394,,,35.4353839,-119.2694474,319.4, INT ML,Pinhole,,,MFL/CLP,,
57,Anomaly - Corrosion,,INT,649.14,06+50,1.91,58.52,60.42,170,Launch Valve - Rio Bravo Station (0+00),649.14,Block Valve  BV 7.14 (377+16),36991.39,16,0.25,,52000,,15,0.04,,,,,0.6,0.6, 06:16,1170,1931,1390,1170,0.842,1.188,1930,1389,,,35.4353875,-119.2694473,319.4, INT ML,Pitting,,,MFL/CLP,,
58,Weld,,,707.66,07+09,60.42,60.28,60.28,180,Launch Valve - Rio Bravo Station (0+00),707.66,Block Valve  BV 7.14 (377+16),36932.87,16,0.25,,52000, 10:40,,,,,,,,,,1170,,,1170,,,,,,,35.4355483,-119.2694469,319.5,GIRTH WELD,,,,MFL/CLP,,
59,Weld,,,767.94,07+69,60.28,60.31,60.31,190,Launch Valve - Rio Bravo Station (0+00),767.94,Block Valve  BV 7.14 (377+16),36872.59,16,0.25,,52000, 12:20,,,,,,,,,,1170,,,1170,,,,,,,35.435714,-119.2694465,319,GIRTH WELD,,,,MFL/CLP,,
60,Weld,,,828.25,08+30,60.31,60.27,60.27,200,Launch Valve - Rio Bravo Station (0+00),828.25,Block Valve  BV 7.14 (377+16),36812.28,16,0.25,,52000, 10:28,,,,,,,,,,1170,,,1170,,,,,,,35.4358798,-119.269446,320,GIRTH WELD,,,,MFL/CLP,,
61,Anomaly - Corrosion,,INT,838.21,08+40,9.96,50.31,60.27,200,Launch Valve - Rio Bravo Station (0+00),838.21,Block Valve  BV 7.14 (377+16),36802.33,16,0.25,,52000,,16,0.04,,,,,0.4,0.3, 05:47,1170,1935,1393,1170,0.84,1.19,1934,1392,,,35.4359072,-119.2694461,320.1, INT ML,Pinhole,,,MFL/CLP,,
62,Anomaly - Corrosion,,INT,847.3,08+49,19.05,41.22,60.27,200,Launch Valve - Rio Bravo Station (0+00),847.3,Block Valve  BV 7.14 (377+16),36793.24,16,0.25,,52000,,16,0.04,,,,,0.3,0.4, 05:54,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.4359322,-119.2694461,320.1, INT ML,Circumferential Slotting,,,MFL/CLP,,
