Feature Number (sequential order),Vendor-Specific Feature Name,Standard Feature Name,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,Upstream (U/S) Reference Distance From,Downstream (D/S) Reference Name,Downstream (D/S) Reference Distance To,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G Pburst,Modified B31.G Psafe,Design Pressure (72% SMYS),ERF,RPR,Effective Area Pburst,Effective Area Psafe,Group Number,Group Category,NAD 83 Latittude,NAD 83 Longititude,NAVD 88 elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
400,Weld,Weld - Longitudinal seam,,889.64,476+24,,,40.63,390,"Valve (Launcher), Sta. 485+11, Lost Hill 2",889.64,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,929.79",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6516194,-119.7471632,,,,,,MFL+DEF (xHD),,
410,Weld,Weld - Longitudinal seam,,930.27,475+84,,,40.65,400,"Valve (Launcher), Sta. 485+11, Lost Hill 2",930.27,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,889.15",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6517009,-119.7472569,,,,,,MFL+DEF (xHD),,
420,Weld,Weld - Longitudinal seam,,970.92,475+43,,,40.66,410,"Valve (Launcher), Sta. 485+11, Lost Hill 2",970.92,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,848.50",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6517815,-119.7473503,,,,,,MFL+DEF (xHD),,
430,Weld,Weld - Longitudinal seam,,"1,011.58",475+02,,,40.68,420,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,011.58","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,807.84",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6518623,-119.7474433,,,,,,MFL+DEF (xHD),,
440,Weld,Weld - Longitudinal seam,,"1,052.26",474+62,,,40.74,430,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,052.26","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,767.16",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6519431,-119.7475387,,,,,,MFL+DEF (xHD),,
450,Weld,Weld - Longitudinal seam,,"1,093.00",474+21,,,40.66,440,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,093.00","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,726.42",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6520236,-119.7476357,,,,,,MFL+DEF (xHD),,
460,Weld,Weld - Longitudinal seam,,"1,133.66",473+81,,,40.31,450,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,133.66","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,685.76",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6521041,-119.7477329,,,,,,MFL+DEF (xHD),,
470,Weld,Weld - Longitudinal seam,,"1,173.97",473+41,,,40.7,460,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,173.97","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,645.45",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6521852,-119.7478287,,,,,,MFL+DEF (xHD),,
480,Weld,Weld - Longitudinal seam,,"1,214.67",473+00,,,40.68,470,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,214.67","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,604.75",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6522658,-119.7479231,,,,,,MFL+DEF (xHD),,
490,Weld,Weld - Longitudinal seam,,"1,255.35",472+59,,,40.33,480,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,255.35","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,564.07",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6523475,-119.7480175,,,,,,MFL+DEF (xHD),,
500,Weld,Weld - Longitudinal seam,,"1,295.68",472+19,,,40.72,490,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,295.68","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,523.74",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6524284,-119.7481119,,,,,,MFL+DEF (xHD),,
510,Weld,Weld - Longitudinal seam,,"1,336.40",471+79,,,40.67,500,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,336.40","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,483.02",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6525079,-119.748206,,,,,,MFL+DEF (xHD),,
520,Weld,Weld - Longitudinal seam,,"1,377.07",471+38,,,40.75,510,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,377.07","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,442.35",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6525885,-119.7483024,,,,,,MFL+DEF (xHD),,
530,Weld,Weld - Longitudinal seam,,"1,417.82",470+97,,,40.94,520,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,417.82","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,401.60",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6526686,-119.7483984,,,,,,MFL+DEF (xHD),,
540,Weld,Weld - Longitudinal seam,,"1,458.76",470+57,,,18.51,530,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,458.76","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,360.67",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.652749,-119.7484939,,,,,,MFL+DEF (xHD),,
550,Weld,Weld - Longitudinal seam,,"1,477.26",470+38,,,40.74,540,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,477.26","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,342.16",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6528287,-119.7485867,,,,,,MFL+DEF (xHD),,
560,Weld,Weld - Longitudinal seam,,"1,518.00",469+98,,,1.37,550,"Valve (Launcher), Sta. 485+11, Lost Hill 2","1,518.00","AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","1,301.42",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6528657,-119.7486293,,,,,,MFL+DEF (xHD),,
